FIS_CAL_DT,FIS_CAL_DT_DESC,FIS_DT_DESC,FIS_DY_OF_WK_NBR,DY_OF_WK_DESC,FIS_WK_NBR,FIS_WK_DESC,FIS_MO_NBR,FIS_MO_DESC,FIS_QTR_NBR,FIS_QTR_DESC,FIS_YR_NBR,FIS_YR_DESC
1/31/2016,1/31/2016,SUN 2016-01-31,1,SUNDAY,1,WK 01 - 02/06/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/1/2016,2/1/2016,MON 2016-02-01,2,MONDAY,1,WK 01 - 02/06/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/2/2016,2/2/2016,TUE 2016-02-02,3,TUESDAY,1,WK 01 - 02/06/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/3/2016,2/3/2016,WED 2016-02-03,4,WEDNESDAY,1,WK 01 - 02/06/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/4/2016,2/4/2016,THR 2016-02-04,5,THURSDAY,1,WK 01 - 02/06/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/5/2016,2/5/2016,FRI 2016-02-05,6,FRIDAY,1,WK 01 - 02/06/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/6/2016,2/6/2016,SAT 2016-02-06,7,SATURDAY,1,WK 01 - 02/06/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/7/2016,2/7/2016,SUN 2016-02-07,1,SUNDAY,2,WK 02 - 02/13/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/8/2016,2/8/2016,MON 2016-02-08,2,MONDAY,2,WK 02 - 02/13/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/9/2016,2/9/2016,TUE 2016-02-09,3,TUESDAY,2,WK 02 - 02/13/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/10/2016,2/10/2016,WED 2016-02-10,4,WEDNESDAY,2,WK 02 - 02/13/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/11/2016,2/11/2016,THR 2016-02-11,5,THURSDAY,2,WK 02 - 02/13/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/12/2016,2/12/2016,FRI 2016-02-12,6,FRIDAY,2,WK 02 - 02/13/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/13/2016,2/13/2016,SAT 2016-02-13,7,SATURDAY,2,WK 02 - 02/13/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/14/2016,2/14/2016,SUN 2016-02-14,1,SUNDAY,3,WK 03 - 02/20/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/15/2016,2/15/2016,MON 2016-02-15,2,MONDAY,3,WK 03 - 02/20/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
2/16/2016,2/16/2016,TUE 2016-02-16,3,TUESDAY,3,WK 03 - 02/20/2016,1,FEB: 2/6/16 - 2/27/16,1,Q1: 2/6/16 - 4/30/16,"2,016",YR 2016: 2/6/16 - 1/28/17
